enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-141334,R-HSA-211859,R-HSA-1430728,PAOs oxidise polyamines to amines,Biological oxidations,Metabolism
R-HSA-5651801,R-HSA-73884,R-HSA-73894,PCNA-Dependent Long Patch Base Excision Repair,Base Excision Repair,DNA Repair
R-HSA-4086400,R-HSA-195721,R-HSA-162582,PCP/CE pathway,Signaling by WNT,Signal Transduction
R-HSA-389948,R-HSA-1280218,R-HSA-168256,PD-1 signaling,Adaptive Immune System,Immune System
R-HSA-165160,R-HSA-9006934,R-HSA-162582,PDE3B signalling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-165160,R-HSA-9006934,R-HSA-162582,PDE3B signalling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9674428,R-HSA-5663202,R-HSA-1643685,PDGFR mutants bind TKIs,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-210990,R-HSA-202733,R-HSA-109582,PECAM1 interactions,Cell surface interactions at the vascular wall,Hemostasis
R-HSA-381042,R-HSA-2262752,R-HSA-8953897,PERK regulates gene expression,Cellular responses to stress,Cellular responses to stimuli
R-HSA-1483255,R-HSA-556833,R-HSA-1430728,PI Metabolism,Metabolism of lipids,Metabolism
R-HSA-1483196,R-HSA-556833,R-HSA-1430728,PI and PC transport between ER and Golgi membranes,Metabolism of lipids,Metabolism
R-HSA-1483196,R-HSA-556833,R-HSA-1430728,PI and PC transport between ER and Golgi membranes,Metabolism of lipids,Metabolism
R-HSA-5654689,R-HSA-9006934,R-HSA-162582,PI-3K cascade:FGFR1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654695,R-HSA-9006934,R-HSA-162582,PI-3K cascade:FGFR2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654710,R-HSA-9006934,R-HSA-162582,PI-3K cascade:FGFR3,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654720,R-HSA-9006934,R-HSA-162582,PI-3K cascade:FGFR4,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-109704,R-HSA-9006934,R-HSA-162582,PI3K Cascade,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-109704,R-HSA-9006934,R-HSA-162582,PI3K Cascade,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1963642,R-HSA-9006934,R-HSA-162582,PI3K events in ERBB2 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1250342,R-HSA-9006934,R-HSA-162582,PI3K events in ERBB4 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-2219528,R-HSA-5663202,R-HSA-1643685,PI3K/AKT Signaling in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-198203,R-HSA-9006934,R-HSA-162582,PI3K/AKT activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-6811555,R-HSA-73857,R-HSA-74160,PI5P Regulates TP53 Acetylation,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6811558,R-HSA-9006925,R-HSA-162582,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",Intracellular signaling by second messengers,Signal Transduction
R-HSA-5205685,R-HSA-1632852,R-HSA-9612973,PINK1-PRKN Mediated Mitophagy,Macroautophagy,Autophagy
R-HSA-1257604,R-HSA-9006925,R-HSA-162582,PIP3 activates AKT signaling,Intracellular signaling by second messengers,Signal Transduction
R-HSA-1660510,R-HSA-556833,R-HSA-1430728,PIPs transport between Golgi and plasma membranes,Metabolism of lipids,Metabolism
R-HSA-1660502,R-HSA-556833,R-HSA-1430728,PIPs transport between early and late endosome membranes,Metabolism of lipids,Metabolism
R-HSA-1660537,R-HSA-556833,R-HSA-1430728,PIPs transport between early endosome and Golgi membranes,Metabolism of lipids,Metabolism
R-HSA-1660508,R-HSA-556833,R-HSA-1430728,PIPs transport between late endosome and Golgi membranes,Metabolism of lipids,Metabolism
R-HSA-1660524,R-HSA-556833,R-HSA-1430728,PIPs transport between plasma and early endosome membranes,Metabolism of lipids,Metabolism
R-HSA-5601884,R-HSA-211000,R-HSA-74160,PIWI-interacting RNA (piRNA) biogenesis,Gene Silencing by RNA,Gene expression (Transcription)
R-HSA-163615,R-HSA-372790,R-HSA-162582,PKA activation,Signaling by GPCR,Signal Transduction
R-HSA-163615,R-HSA-9006925,R-HSA-162582,PKA activation,Intracellular signaling by second messengers,Signal Transduction
R-HSA-164378,R-HSA-163685,R-HSA-1430728,PKA activation in glucagon signalling,Integration of energy metabolism,Metabolism
R-HSA-111931,R-HSA-372790,R-HSA-162582,PKA-mediated phosphorylation of CREB,Signaling by GPCR,Signal Transduction
R-HSA-111931,R-HSA-9006925,R-HSA-162582,PKA-mediated phosphorylation of CREB,Intracellular signaling by second messengers,Signal Transduction
R-HSA-163358,R-HSA-163685,R-HSA-1430728,PKA-mediated phosphorylation of key metabolic factors,Integration of energy metabolism,Metabolism
R-HSA-109703,R-HSA-9006934,R-HSA-162582,PKB-mediated events,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-109703,R-HSA-9006934,R-HSA-162582,PKB-mediated events,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-3214841,R-HSA-3247509,R-HSA-4839726,PKMTs methylate histone lysines,Chromatin modifying enzymes,Chromatin organization
R-HSA-112043,R-HSA-372790,R-HSA-162582,PLC beta mediated events,Signaling by GPCR,Signal Transduction
R-HSA-167021,R-HSA-9006934,R-HSA-162582,PLC-gamma1 signalling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1251932,R-HSA-9006934,R-HSA-162582,PLCG1 events in ERBB2 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-110362,R-HSA-73884,R-HSA-73894,POLB-Dependent Long Patch Base Excision Repair,Base Excision Repair,DNA Repair
R-HSA-2892247,R-HSA-452723,R-HSA-1266738,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",Transcriptional regulation of pluripotent stem cells,Developmental Biology
R-HSA-2892245,R-HSA-452723,R-HSA-1266738,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",Transcriptional regulation of pluripotent stem cells,Developmental Biology
R-HSA-163767,R-HSA-163685,R-HSA-1430728,PP2A-mediated dephosphorylation of key metabolic factors,Integration of energy metabolism,Metabolism
R-HSA-1989781,R-HSA-556833,R-HSA-1430728,PPARA activates gene expression,Metabolism of lipids,Metabolism
R-HSA-212300,R-HSA-212165,R-HSA-74160,PRC2 methylates histones and DNA,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-5674404,R-HSA-5663202,R-HSA-1643685,PTEN Loss of Function in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-6807070,R-HSA-9006925,R-HSA-162582,PTEN Regulation,Intracellular signaling by second messengers,Signal Transduction
R-HSA-8849474,R-HSA-9006927,R-HSA-162582,PTK6 Activates STAT3,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8849472,R-HSA-9006927,R-HSA-162582,PTK6 Down-Regulation,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8849473,R-HSA-9006927,R-HSA-162582,PTK6 Expression,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8849470,R-HSA-9006927,R-HSA-162582,PTK6 Regulates Cell Cycle,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8849468,R-HSA-9006927,R-HSA-162582,PTK6 Regulates Proteins Involved in RNA Processing,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8849471,R-HSA-9006927,R-HSA-162582,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8849469,R-HSA-9006927,R-HSA-162582,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8857538,R-HSA-9006927,R-HSA-162582,PTK6 promotes HIF1A stabilization,Signaling by Non-Receptor Tyrosine Kinases,Signal Transduction
R-HSA-171306,R-HSA-73886,R-HSA-1640170,Packaging Of Telomere Ends,Chromosome Maintenance,Cell Cycle
R-HSA-168303,R-HSA-5663205,R-HSA-1643685,Packaging of Eight RNA Segments,Infectious disease,Disease
R-HSA-6802955,R-HSA-5663202,R-HSA-1643685,Paradoxical activation of RAF signaling by kinase inactive BRAF,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-9664407,R-HSA-5663205,R-HSA-1643685,Parasite infection,Infectious disease,Disease
R-HSA-432047,R-HSA-445717,R-HSA-382551,Passive transport by Aquaporins,Aquaporin-mediated transport,Transport of small molecules
R-HSA-167290,R-HSA-5663205,R-HSA-1643685,Pausing and recovery of HIV elongation,Infectious disease,Disease
R-HSA-167238,R-HSA-5663205,R-HSA-1643685,Pausing and recovery of Tat-mediated HIV elongation,Infectious disease,Disease
R-HSA-71336,R-HSA-71387,R-HSA-1430728,Pentose phosphate pathway,Metabolism of carbohydrates,Metabolism
R-HSA-6791465,R-HSA-5668914,R-HSA-1643685,Pentose phosphate pathway disease,Diseases of metabolism,Disease
R-HSA-156902,R-HSA-72766,R-HSA-392499,Peptide chain elongation,Translation,Metabolism of proteins
R-HSA-209952,R-HSA-2980736,R-HSA-392499,Peptide hormone biosynthesis,Peptide hormone metabolism,Metabolism of proteins
R-HSA-2980736,R-HSA-2980736,R-HSA-392499,Peptide hormone metabolism,Peptide hormone metabolism,Metabolism of proteins
R-HSA-375276,R-HSA-372790,R-HSA-162582,Peptide ligand-binding receptors,Signaling by GPCR,Signal Transduction
R-HSA-390918,R-HSA-556833,R-HSA-1430728,Peroxisomal lipid metabolism,Metabolism of lipids,Metabolism
R-HSA-9033241,R-HSA-9033241,R-HSA-9609507,Peroxisomal protein import,Peroxisomal protein import,Protein localization
R-HSA-9005895,R-HSA-9675151,R-HSA-1643685,Pervasive developmental disorders,Disorders of Developmental Biology,Disease
R-HSA-9664873,R-HSA-1632852,R-HSA-9612973,Pexophagy,Macroautophagy,Autophagy
R-HSA-9637698,R-HSA-5663205,R-HSA-1643685,Phagocyte cell death caused by cytosolic Mtb,Infectious disease,Disease
R-HSA-5576892,R-HSA-5576891,R-HSA-397014,Phase 0 - rapid depolarisation,Cardiac conduction,Muscle contraction
R-HSA-5576894,R-HSA-5576891,R-HSA-397014,Phase 1 - inactivation of fast Na+ channels,Cardiac conduction,Muscle contraction
R-HSA-5576893,R-HSA-5576891,R-HSA-397014,Phase 2 - plateau phase,Cardiac conduction,Muscle contraction
R-HSA-5576890,R-HSA-5576891,R-HSA-397014,Phase 3 - rapid repolarisation,Cardiac conduction,Muscle contraction
R-HSA-5576886,R-HSA-5576891,R-HSA-397014,Phase 4 - resting membrane potential,Cardiac conduction,Muscle contraction
R-HSA-211945,R-HSA-211859,R-HSA-1430728,Phase I - Functionalization of compounds,Biological oxidations,Metabolism
R-HSA-156580,R-HSA-211859,R-HSA-1430728,Phase II - Conjugation of compounds,Biological oxidations,Metabolism
R-HSA-8963691,R-HSA-71291,R-HSA-1430728,Phenylalanine and tyrosine metabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-8964208,R-HSA-71291,R-HSA-1430728,Phenylalanine metabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-2160456,R-HSA-5668914,R-HSA-1643685,Phenylketonuria,Diseases of metabolism,Disease
R-HSA-8850843,R-HSA-15869,R-HSA-1430728,Phosphate bond hydrolysis by NTPDase proteins,Metabolism of nucleotides,Metabolism
R-HSA-2393930,R-HSA-15869,R-HSA-1430728,Phosphate bond hydrolysis by NUDT proteins,Metabolism of nucleotides,Metabolism
R-HSA-5654219,R-HSA-9006934,R-HSA-162582,Phospholipase C-mediated cascade: FGFR1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654221,R-HSA-9006934,R-HSA-162582,Phospholipase C-mediated cascade; FGFR2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654227,R-HSA-9006934,R-HSA-162582,Phospholipase C-mediated cascade; FGFR3,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654228,R-HSA-9006934,R-HSA-162582,Phospholipase C-mediated cascade; FGFR4,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-1483257,R-HSA-556833,R-HSA-1430728,Phospholipid metabolism,Metabolism of lipids,Metabolism
R-HSA-202427,R-HSA-1280218,R-HSA-168256,Phosphorylation of CD3 and TCR zeta chains,Adaptive Immune System,Immune System
R-HSA-176417,R-HSA-69278,R-HSA-1640170,Phosphorylation of Emi1,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69200,R-HSA-69278,R-HSA-1640170,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-170145,R-HSA-69278,R-HSA-1640170,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-176412,R-HSA-69278,R-HSA-1640170,Phosphorylation of the APC/C,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-5578768,R-HSA-5576891,R-HSA-397014,Physiological factors,Cardiac conduction,Muscle contraction
R-HSA-8963898,R-HSA-174824,R-HSA-382551,Plasma lipoprotein assembly,"Plasma lipoprotein assembly, remodeling, and clearance",Transport of small molecules
R-HSA-174824,R-HSA-174824,R-HSA-382551,"Plasma lipoprotein assembly, remodeling, and clearance","Plasma lipoprotein assembly, remodeling, and clearance",Transport of small molecules
R-HSA-8964043,R-HSA-174824,R-HSA-382551,Plasma lipoprotein clearance,"Plasma lipoprotein assembly, remodeling, and clearance",Transport of small molecules
R-HSA-8963899,R-HSA-174824,R-HSA-382551,Plasma lipoprotein remodeling,"Plasma lipoprotein assembly, remodeling, and clearance",Transport of small molecules
R-HSA-75896,R-HSA-556833,R-HSA-1430728,Plasmalogen biosynthesis,Metabolism of lipids,Metabolism
R-HSA-75892,R-HSA-75892,R-HSA-109582,Platelet Adhesion to exposed collagen,Platelet Adhesion to exposed collagen,Hemostasis
R-HSA-76009,R-HSA-76002,R-HSA-109582,Platelet Aggregation (Plug Formation),"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-76002,R-HSA-76002,R-HSA-109582,"Platelet activation, signaling and aggregation","Platelet activation, signaling and aggregation",Hemostasis
R-HSA-418360,R-HSA-418346,R-HSA-109582,Platelet calcium homeostasis,Platelet homeostasis,Hemostasis
R-HSA-114608,R-HSA-76002,R-HSA-109582,Platelet degranulation,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-418346,R-HSA-418346,R-HSA-109582,Platelet homeostasis,Platelet homeostasis,Hemostasis
R-HSA-432142,R-HSA-418346,R-HSA-109582,Platelet sensitization by LDL,Platelet homeostasis,Hemostasis
R-HSA-164525,R-HSA-5663205,R-HSA-1643685,Plus-strand DNA synthesis,Infectious disease,Disease
R-HSA-156711,R-HSA-69278,R-HSA-1640170,Polo-like kinase mediated events,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69091,R-HSA-69278,R-HSA-1640170,Polymerase switching,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69091,R-HSA-69239,R-HSA-69306,Polymerase switching,Synthesis of DNA,DNA Replication
R-HSA-69091,R-HSA-69278,R-HSA-1640170,Polymerase switching,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69091,R-HSA-69239,R-HSA-69306,Polymerase switching,Synthesis of DNA,DNA Replication
R-HSA-174411,R-HSA-73886,R-HSA-1640170,Polymerase switching on the C-strand of the telomere,Chromosome Maintenance,Cell Cycle
R-HSA-5250913,R-HSA-212165,R-HSA-74160,Positive epigenetic regulation of rRNA expression,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-438064,R-HSA-112315,R-HSA-112316,Post NMDA receptor activation events,Transmission across Chemical Synapses,Neuronal System
R-HSA-389977,R-HSA-391251,R-HSA-392499,Post-chaperonin tubulin folding pathway,Protein folding,Metabolism of proteins
R-HSA-426496,R-HSA-211000,R-HSA-74160,Post-transcriptional silencing by small RNAs,Gene Silencing by RNA,Gene expression (Transcription)
R-HSA-163125,R-HSA-597592,R-HSA-392499,Post-translational modification: synthesis of GPI-anchored proteins,Post-translational protein modification,Metabolism of proteins
R-HSA-597592,R-HSA-597592,R-HSA-392499,Post-translational protein modification,Post-translational protein modification,Metabolism of proteins
R-HSA-8957275,R-HSA-597592,R-HSA-392499,Post-translational protein phosphorylation,Post-translational protein modification,Metabolism of proteins
R-HSA-9615933,R-HSA-69278,R-HSA-1640170,Postmitotic nuclear pore complex (NPC) reformation,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-622327,R-HSA-112315,R-HSA-112316,Postsynaptic nicotinic acetylcholine receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-1296071,R-HSA-1296071,R-HSA-112316,Potassium Channels,Potassium Channels,Neuronal System
R-HSA-1296067,R-HSA-1296071,R-HSA-112316,Potassium transport channels,Potassium Channels,Neuronal System
R-HSA-9679191,R-HSA-5663205,R-HSA-1643685,Potential therapeutics for SARS,Infectious disease,Disease
R-HSA-1912422,R-HSA-157118,R-HSA-162582,Pre-NOTCH Expression and Processing,Signaling by NOTCH,Signal Transduction
R-HSA-1912420,R-HSA-157118,R-HSA-162582,Pre-NOTCH Processing in Golgi,Signaling by NOTCH,Signal Transduction
R-HSA-1912399,R-HSA-157118,R-HSA-162582,Pre-NOTCH Processing in the Endoplasmic Reticulum,Signaling by NOTCH,Signal Transduction
R-HSA-1912408,R-HSA-157118,R-HSA-162582,Pre-NOTCH Transcription and Translation,Signaling by NOTCH,Signal Transduction
R-HSA-389957,R-HSA-391251,R-HSA-392499,Prefoldin mediated transfer of substrate  to CCT/TriC,Protein folding,Metabolism of proteins
R-HSA-196108,R-HSA-556833,R-HSA-1430728,Pregnenolone biosynthesis,Metabolism of lipids,Metabolism
R-HSA-112308,R-HSA-112315,R-HSA-112316,Presynaptic depolarization and calcium channel opening,Transmission across Chemical Synapses,Neuronal System
R-HSA-500657,R-HSA-112315,R-HSA-112316,Presynaptic function of Kainate receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-622323,R-HSA-112315,R-HSA-112316,Presynaptic nicotinic acetylcholine receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-5693616,R-HSA-5693532,R-HSA-73894,Presynaptic phase of homologous DNA pairing and strand exchange,DNA Double-Strand Break Repair,DNA Repair
R-HSA-9636383,R-HSA-5663205,R-HSA-1643685,Prevention of phagosomal-lysosomal fusion,Infectious disease,Disease
R-HSA-3215018,R-HSA-597592,R-HSA-392499,Processing and activation of SUMO,Post-translational protein modification,Metabolism of proteins
R-HSA-72203,R-HSA-72203,R-HSA-8953854,Processing of Capped Intron-Containing Pre-mRNA,Processing of Capped Intron-Containing Pre-mRNA,Metabolism of RNA
R-HSA-75067,R-HSA-75067,R-HSA-8953854,Processing of Capped Intronless Pre-mRNA,Processing of Capped Intronless Pre-mRNA,Metabolism of RNA
R-HSA-5693607,R-HSA-5693532,R-HSA-73894,Processing of DNA double-strand break ends,DNA Double-Strand Break Repair,DNA Repair
R-HSA-77595,R-HSA-75067,R-HSA-8953854,Processing of Intronless Pre-mRNAs,Processing of Capped Intronless Pre-mRNA,Metabolism of RNA
R-HSA-8949664,R-HSA-8949215,R-HSA-382551,Processing of SMDT1,Mitochondrial calcium ion transport,Transport of small molecules
R-HSA-174414,R-HSA-73886,R-HSA-1640170,Processive synthesis on the C-strand of the telomere,Chromosome Maintenance,Cell Cycle
